"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"New Text Document.txt"	".txt"	"r"	""	"2025-11-29 15:18:36 IST"	"2025-11-29 15:18:36 IST"	"2025-11-29 15:18:36 IST"	"0"	"46"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RJHD7QF/New Text Document.txt"
"$RQ3ZNZM.bmp"	".bmp"	"r"	""	"2025-11-29 15:18:11 IST"	"2025-11-29 15:18:11 IST"	"2025-11-29 15:18:11 IST"	"0"	"44"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RQ3ZNZM.bmp"
"$RQLXS6J.lnk"	".lnk"	"r"	""	"2025-12-02 18:10:49 IST"	"2025-12-02 15:20:24 IST"	"2025-12-02 15:20:24 IST"	"518"	"77"	"cf37ead975056142e125f2a8529de6e4"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/$RQLXS6J.lnk"
"desktop.ini"	".ini"	"r"	""	"2025-12-02 22:19:32 IST"	"2025-11-29 15:14:11 IST"	"2025-11-29 15:14:11 IST"	"129"	"41"	"a526b9e7c716b3489d8cc062fbce4005"	"unknown"	"rr-xr-xr-x"	"/img_Compromise System Investigation .E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-2189568053-3049340088-3266082288-1001/desktop.ini"
"$Secure:$SDS"	""	"r"	""	"2025-11-29 15:12:16 IST"	"2025-11-29 15:12:16 IST"	"2025-11-29 15:12:16 IST"	"265988"	"9"	"null"	"unknown"	"rr-xr-xr-x"	"/img_Compromise System Investigation .E01/vol_vol2/$Secure:$SDS"
"$Secure:$SDS-slack"	""	"r"	""	"2025-11-29 15:12:16 IST"	"2025-11-29 15:12:16 IST"	"2025-11-29 15:12:16 IST"	"252"	"9"	"null"	"unknown"	"rr-xr-xr-x"	"/img_Compromise System Investigation .E01/vol_vol2/$Secure:$SDS-slack"
"$UpCase"	""	"r"	""	"2025-11-29 15:12:16 IST"	"2025-11-29 15:12:16 IST"	"2025-11-29 15:12:16 IST"	"131072"	"10"	"7ff498a44e45e77374cc7c962b1b92f2"	"unknown"	"rr-xr-xr-x"	"/img_Compromise System Investigation .E01/vol_vol2/$UpCase"
"$UpCase:$Info"	""	"r"	""	"2025-11-29 15:12:16 IST"	"2025-11-29 15:12:16 IST"	"2025-11-29 15:12:16 IST"	"32"	"10"	"null"	"unknown"	"rr-xr-xr-x"	"/img_Compromise System Investigation .E01/vol_vol2/$UpCase:$Info"
"$Volume"	""	"r"	""	"2025-11-29 15:12:16 IST"	"2025-11-29 15:12:16 IST"	"2025-11-29 15:12:16 IST"	"0"	"3"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_Compromise System Investigation .E01/vol_vol2/$Volume"
"access log.txt"	".txt"	"r"	""	"2025-12-02 22:30:14 IST"	"2025-12-02 22:24:51 IST"	"2025-12-02 22:30:14 IST"	"312"	"88"	"caeaa5ae5ab05c26049682302fc31456"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/project cf/access log.txt"
"ChatGPT Image Dec 2, 2025, 10_33_13 PM.png"	".png"	"r"	""	"2025-12-02 22:33:30 IST"	"2025-12-02 22:33:30 IST"	"2025-12-02 22:33:15 IST"	"1282953"	"89"	"c9b982ae149c9f563d2f48ecc7e6b3fd"	"unknown"	"rrwxrwxrwx"	"/img_Compromise System Investigation .E01/vol_vol2/project cf/ChatGPT Image Dec 2, 2025, 10_33_13 PM.png"
